圓藝企業股份有限公司	114臺北市內湖區基湖路35巷49號
蜜雪兒開發股份有限公司	114臺北市內湖區瑞光路26巷20弄25號6樓
隆電股份有限公司	114臺北市內湖區內湖路1段250號11樓
哈帝股份有限公司	114臺北市內湖區堤頂大道2段201號8樓
合全產品開發股份有限公司	114臺北市內湖區瑞光路288號3樓
優仕咖啡股份有限公司	114臺北市內湖區瑞光路26巷36弄6號2樓
啟延電子科技股份有限公司	114臺北市內湖區內湖路1段306號6樓之2
國華保全股份有限公司	114臺北市內湖區港墘路221巷33號3樓
馭航股份有限公司	114臺北市內湖區瑞湖街103號5樓之2
神谷機工股份有限公司	114臺北市內湖區瑞光路188巷43號8樓
華格生物科技有限公司	114臺北市內湖區堤頂大道2段473號6樓
中太科技股份有限公司	114臺北市內湖區陽光街345巷5號2樓之1
典業有限公司	114臺北市內湖區洲子街85號5樓之1
德技股份有限公司	114臺北市內湖區內湖路1段308號4樓
寬友股份有限公司	114臺北市內湖區陽光街345巷16號2樓
國眾電腦股份有限公司	114臺北市內湖區陽光街298號3樓
楷成企業股份有限公司	114臺北市內湖區瑞光路478巷20號4樓
弘原探勘有限公司	114臺北市內湖區瑞光路194號
網上穿越有限公司	114臺北市內湖區瑞湖街88號8樓
中華書局股份有限公司	114臺北市內湖區舊宗路2段181巷6號5樓
合騰國際有限公司	114臺北市內湖區洲子街85號4樓
宏立股份有限公司	114臺北市內湖區瑞光路192號9樓
和泰股份有限公司	114臺北市內湖區洲子街68號4樓
東武有限公司	114臺北市內湖區瑞光路76巷47號6樓
昌興貿易股份有限公司	114臺北市內湖區陽光街321巷18號7樓之1
培崗有限公司	114臺北市內湖區瑞光路76巷69號3樓
景德製藥股份有限公司	114臺北市內湖區港墘路221巷41號4樓
瑞順貿易有限公司	114臺北市內湖區瑞光路478巷18弄30號7樓
銳昌企業股份有限公司	114臺北市內湖區陽光街321巷12號1樓
寶島鐘錶股份有限公司	114臺北市內湖區瑞光路513巷30號6樓
佳美貿易股份有限公司	114臺北市內湖區瑞光路302號9樓
中國郵報社股份有限公司	114臺北市內湖區瑞湖街111號
聖瑪股份有限公司	114臺北市內湖區瑞光路582號8樓之1
仕瑋企業有限公司	114臺北市內湖區瑞光路258巷2號3樓之1
新橋實業股份有限公司	114臺北市內湖區瑞光路513巷39號9樓
德式馬企業股份有限公司	114臺北市內湖區洲子街65號3樓
名成國際貿易股份有限公司	114臺北市內湖區基湖路35巷11號4樓
華美航運股份有限公司	114臺北市內湖區舊宗路2段105號1、2樓
伊蒂有限公司	114臺北市內湖區洲子街75號9樓
光泉牧場股份有限公司	114臺北市內湖區瑞光路502號4樓
麟鑫貿易有限公司	114臺北市內湖區瑞光路258巷2號9樓
震易股份有限公司	114臺北市內湖區內湖路1段88號2樓
海韻電子工業股份有限公司	114臺北市內湖區內湖路1段360巷17號8樓
光泉食品股份有限公司	114臺北市內湖區瑞光路502號4樓
嘉文企業有限公司	114臺北市內湖區瑞光路358巷32號6樓
英偉船務代理有限公司	114臺北市內湖區堤頂大道2段477號8樓之1
明山投資股份有限公司	114臺北市內湖區瑞光路358巷30弄3號7樓之1
和毅股份有限公司	114臺北市內湖區瑞光路358巷30弄1號11樓
台灣華協企業有限公司	114臺北市內湖區基湖路10巷52號2樓
麗嬰房股份有限公司	114臺北市內湖區陽光街321巷60號
